,Titlu,Titlu2,Autor,Nationalitate,GenWiki
164,Când iarăși glasul,Când însuși glasul,Mihai Eminescu,Romana,poezie
165,Cucoana Chirița în voiaj,Cucoana Chirița în voiaj,Vasile Alecsandri,Nationala,comedie
166,Din Iliada,Din Iliada,Mihai Eminescu,Romana,poezie
167,Doi ani de restaurație,"Doi ani de restaurație -- ce a fost, ce am vrut, ce am putut",Nicolae Iorga,Nationala,amintiri
168,Misterele nopții,Misterele nopții,Mihai Eminescu,Romana,poezie
169,Din străinătate,Din străinătate,Mihai Eminescu,Romana,poezie
170,Preot și filozof,Preot și filozof,Mihai Eminescu,Romana,poezie
171,Dumnezeu și om,Dumnezeu și om,Mihai Eminescu,Romana,poezie
172,Mitologicale,Mitologicale,Mihai Eminescu,Romana,poezie
173,Pentru păzirea auzului,Pentru păzirea auzului,Mihai Eminescu,Romana,poezie
174,Dacă treci râul Selenei...,Dacă treci râul Selenei...,Mihai Eminescu,Romana,poezie
175,"Din periodice/Din Timpul, septembrie 1882",Din periodice,Mihai Eminescu,Romana,articol
176,Dați-mi arpă de aramă,Dați-mi arpă de aramă,Mihai Eminescu,Romana,poezie
177,Maria Tudor,Maria Tudor,Mihai Eminescu,Romana,poezie
178,Satira II,Satira II,Mihai Eminescu,Romana,poezie
179,Scrisoarea II,Scrisoarea II,Mihai Eminescu,Romana,poezie
180,Războiul,Războiul,Alphonse Lamartine,Franceza,poezie
181,De ce în al meu suflet,De ce în al meu suflet,Mihai Eminescu,Romana,poezie
182,"De câte ori, iubito...","De câte ori, iubito...",Mihai Eminescu,Romana,poezie
183,Scandal!,Scandal!,Anton Bacalbașa,Romana,pamflet
184,O viață de om așa cum a fost/Vremuri politice tulburi,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
185,Doină,Doină,Mihai Eminescu,Romana,poezie
186,La Heliade,La Heliade,Mihai Eminescu,Romana,poezie
187,Alexandru III,Alexandru III,Anton Bacalbașa,Romana,pamflet
188,Curțile vechi,Curțile vechi,Mateiu Caragiale,Romana,poezie
189,De vorbiți mă fac că n-aud...,De vorbiți mă fac că n-aud...,Mihai Eminescu,Romana,poezie
190,De-a născoci noi ipoteze...,De-a născoci noi ipoteze...,Mihai Eminescu,Romana,poezie
191,Boul,Boul,Duiliu Zamfirescu,Romana,proza
192,Adio (Eminescu),Adio,Mihai Eminescu,Romana,poezie
193,Budulea Taichii,Budulea Taichii,Ioan Slavici,Nationala,proza
194,De-oi adormi,De-oi adormi...(variantă),Mihai Eminescu,Romana,poezie
195,De-oi adormi...,De-oi adormi...(variantă),Mihai Eminescu,Romana,poezie
196,De-or trece anii...,De-or trece anii...,Mihai Eminescu,Romana,poezie
197,O viață de om așa cum a fost/Osteneli de istoric,O viață de om așa cum a fost,Nicolae Iorga,Nationala,amintiri
198,"Din periodice/Din Timpul, septembrie 1880",Din periodice,Mihai Eminescu,Romana,articol
199,La Argeș,La Argeș,Mateiu Caragiale,Romana,poezie
200,"Din periodice/Din Timpul, decembrie 1881",Din periodice,Mihai Eminescu,Romana,articol
201,Grenadirii,Grenadirii,Ștefan Octavian Iosif,Germana,poezie
202,Groază plăcută,Groază plăcută,Charles Baudelaire,Franceza,poezie
